,WMO_WIND_IN_24H
1594,40.0
1595,40.0
1596,40.0
1597,40.0
1598,40.0
1599,40.0
1600,40.0
1601,40.0
1602,40.0
1603,37.5
1604,35.0
1605,34.82143
1606,34.642857
1607,34.464287
1608,34.285713
1609,67.5
1610,70.0
1611,72.5
1612,75.0
1613,77.5
1614,80.0
1615,85.0
1616,90.0
1617,95.0
1618,100.0
1619,95.0
1620,90.0
1621,90.0
1622,90.0
1623,87.5
1624,85.0
1625,82.5
1626,80.0
1627,77.5
1628,75.0
1629,72.5
1630,70.0
1631,67.5
1632,65.0
1633,62.5
1634,60.0
1635,57.5
1636,55.0
1637,52.5
1638,50.0
1639,47.5
1640,45.0
1641,42.5
1642,40.0
1643,37.5
1644,35.0
1645,32.5
1646,30.0
1647,30.0
1648,30.0
1649,27.5
1650,25.0
1651,25.0
1652,25.0
1653,25.0
1654,25.0
1655,25.0
1656,25.0
1657,25.0
1658,25.0
1659,25.0
1660,25.0
1661,25.0
1662,25.0
1663,25.0
1664,25.0
1665,25.0
1666,25.0
1667,102.5
1668,110.0
1669,115.0
1670,120.0
1671,117.5
1672,115.0
1673,110.0
1674,105.0
1675,100.0
1676,95.0
1677,92.5
1678,90.0
1679,92.5
1680,95.0
1681,97.5
1682,100.0
1683,102.5
1684,105.0
1685,102.5
1686,100.0
1687,100.0
1688,100.0
1689,95.0
1690,90.0
1691,85.0
1692,80.0
1693,75.0
1694,70.0
1695,65.0
1696,60.0
1697,55.0
1698,50.0
1699,47.5
1700,45.0
1701,45.0
1702,45.0
1703,45.0
1704,45.0
1705,42.5
1706,40.0
1707,37.5
1708,35.0
1709,35.0
1710,35.0
1711,35.0
1712,35.0
1713,32.5
1714,30.0
1715,30.0
1716,30.0
1717,30.0
1718,30.0
1719,30.0
1720,30.0
1721,30.0
1722,30.0
1723,30.0
1724,30.0
1725,30.0
1726,30.0
1727,30.0
1728,30.0
1729,30.0
1730,30.0
1731,27.5
1732,25.0
1733,75.0
1734,75.0
1735,77.5
1736,80.0
1737,82.5
1738,85.0
1739,87.5
1740,90.0
1741,92.5
1742,95.0
1743,95.0
1744,95.0
1745,92.5
1746,90.0
1747,87.5
1748,85.0
1749,82.5
1750,80.0
1751,75.0
1752,70.0
1753,65.0
1754,60.0
1755,55.0
1756,50.0
1757,47.5
1758,45.0
1759,42.5
1760,40.0
1761,37.5
1762,35.0
1763,32.5
1764,30.0
1765,30.0
1766,30.0
1767,27.5
1768,25.0
1769,25.0
1770,25.0
1771,25.0
1772,25.0
1773,22.5
1774,20.0
1775,20.0
1776,20.0
1777,20.0
1778,20.0
1779,20.0
1780,20.0
1781,20.0
1782,20.0
1783,50.0
1784,47.5
1785,45.0
1786,42.5
1787,40.0
1788,37.5
1789,35.0
1790,35.0
1791,35.0
1792,35.0
1793,35.0
1794,35.0
1795,35.0
1796,35.0
1797,35.0
1798,35.0
1799,35.0
1800,35.0
1801,35.0
1802,35.0
1803,35.0
1804,35.0
1805,35.0
1806,35.0
1807,35.0
1808,35.0
1809,35.0
1810,37.5
1811,40.0
1812,42.5
1813,45.0
1814,45.0
1815,45.0
1816,45.0
1817,45.0
1818,47.5
1819,50.0
1820,50.0
1821,50.0
1822,55.0
1823,60.0
1824,65.0
1825,70.0
1826,75.0
1827,80.0
1828,70.0
1829,60.0
1830,55.0
1831,50.0
1832,45.0
1833,40.0
1834,39.705883
1835,39.411766
1836,39.117645
1837,38.82353
1838,38.52941
1839,38.235294
1840,42.5
1841,45.0
1842,50.0
1843,55.0
1844,55.0
1845,55.0
1846,55.0
1847,55.0
1848,55.0
1849,55.0
1850,55.0
1851,55.0
1852,55.0
1853,55.0
1854,55.0
1855,55.0
1856,57.5
1857,60.0
1858,60.0
1859,60.0
1860,60.0
1861,60.0
1862,60.0
1863,60.0
1864,60.0
1865,65.0
1866,65.0
1867,65.0
1868,65.0
1869,70.0
1870,70.0
1871,70.0
1872,70.0
1873,70.0
1874,65.0
1875,63.333332
1876,61.666668
1877,60.0
1878,55.0
1879,50.0
1880,50.0
1881,45.0
1882,42.5
1883,40.0
1884,37.5
1885,35.0
1886,35.0
1887,35.0
1888,35.0
1889,35.0
1890,35.0
1891,35.0
1892,35.0
1893,35.0
1894,35.0
1895,35.0
1896,35.0
1897,35.0
1898,35.0
1899,35.0
1900,35.0
1901,35.0
1902,40.0
1903,40.0
1904,40.0
1905,40.0
1906,40.0
1907,40.0
1908,40.0
1909,40.0
1910,40.0
1911,40.0
1912,40.0
1913,40.0
1914,45.0
1915,55.0
1916,50.0
1917,50.0
1918,50.0
1919,50.0
1920,50.0
1921,50.0
1922,50.0
1923,50.0
1924,55.0
1925,55.0
1926,55.0
1927,55.0
1928,55.0
1929,55.0
1930,55.0
1931,55.0
1932,60.0
1933,65.0
1934,67.5
1935,70.0
1936,67.5
1937,65.0
1938,62.5
1939,60.0
1940,52.5
1941,45.0
1942,40.0
1943,35.0
1944,34.285713
1945,33.57143
1946,32.857143
1947,32.142857
1948,31.428572
1949,30.714285
1950,45.0
1951,45.0
1952,45.0
1953,45.0
1954,45.0
1955,45.0
1956,45.0
1957,45.0
1958,45.0
1959,45.0
1960,45.0
1961,45.0
1962,45.0
1963,45.0
1964,47.5
1965,50.0
1966,52.5
1967,55.0
1968,55.0
1969,55.0
1970,55.0
1971,55.0
1972,55.0
1973,55.0
1974,60.0
1975,65.0
1976,70.0
1977,75.0
1978,77.5
1979,80.0
1980,80.0
1981,82.5
1982,85.0
1983,80.0
1984,70.0
1985,60.0
1986,55.0
1987,50.0
1988,52.5
1989,55.0
1990,57.5
1991,60.0
1992,57.5
1993,55.0
1994,55.0
1995,55.0
1996,50.0
1997,45.0
1998,40.0
1999,35.0
2000,30.0
2001,40.0
2002,40.0
2003,45.0
2004,45.0
2005,45.0
2006,45.0
2007,45.0
2008,50.0
2009,50.0
2010,55.0
2011,55.0
2012,55.0
2013,55.0
2014,60.0
2015,60.0
2016,60.0
2017,60.0
